order,aic,bic
"[0, 2, 3]",1059.8323038870512,1070.4481452876814
"[1, 2, 3]",1061.5663334952708,1074.8361352460583
"[0, 1, 3]",1062.330906089131,1072.9846624655793
"[2, 2, 3]",1063.2518250079056,1079.1755871088508
"[1, 1, 3]",1064.2657776890123,1077.5829731595727
"[2, 1, 3]",1065.5189928776567,1081.499627442329
"[3, 1, 3]",1067.9317669808893,1086.5758406396737
"[3, 2, 3]",1068.397907729128,1086.9756301802308
"[0, 1, 2]",1069.5162124068927,1077.5346989102784
"[1, 0, 3]",1069.5820677281947,1085.6190407349661
