order,aic,bic
"[0, 1, 3]",1005.9934072791697,1016.647163655618
"[2, 2, 3]",1006.9700092875278,1022.8937713884729
"[1, 1, 3]",1007.1635257182601,1020.4807211888204
"[0, 2, 3]",1007.7934042527479,1018.409245653378
"[2, 1, 3]",1008.397175485823,1024.3778100504953
"[1, 2, 3]",1008.5933261928716,1021.8631279436592
"[3, 2, 3]",1010.1938033478797,1028.7715257989823
"[3, 1, 3]",1010.3539282412751,1028.9980019000595
"[0, 0, 3]",1013.0865405641961,1026.4506847365055
"[1, 0, 3]",1013.8200387380948,1029.8570117448662
