order,aic,bic
"[1, 2, 3]",1109.1900120695777,1122.507207540138
"[0, 2, 3]",1109.265444918814,1119.9192012952622
"[3, 1, 3]",1109.923420298581,1128.6332221398143
"[0, 1, 3]",1110.141623828981,1120.8329391668285
"[1, 1, 3]",1110.429167783239,1123.7933119555487
"[2, 1, 3]",1110.443252438916,1126.4802254456874
"[2, 2, 3]",1110.6800252158666,1126.660659780539
"[3, 2, 3]",1112.657868937485,1131.3019425962696
"[2, 0, 3]",1118.0013962612838,1136.7763148511533
"[1, 0, 3]",1119.37615391197,1135.4689412747155
