order,aic,bic
"[0, 2, 3]",1129.5343615965915,1140.1502029972216
"[1, 2, 3]",1130.9333384767422,1144.2031402275297
"[0, 1, 3]",1132.8802930899603,1143.5340494664085
"[2, 2, 3]",1133.2678375580253,1149.1915996589705
"[1, 1, 3]",1134.6817804545447,1147.998975925105
"[3, 2, 3]",1134.8516080853547,1153.4293305364572
"[2, 1, 3]",1136.394440354325,1152.3750749189974
"[0, 2, 2]",1137.2358927727548,1145.226210055091
"[3, 1, 3]",1138.3250552681247,1156.9691289269092
"[1, 2, 2]",1139.232795839939,1149.8865522163871
