order,aic,bic
"[0, 1, 3]",1084.6546564469043,1095.3459717847518
"[1, 1, 3]",1085.314816114591,1098.6789602869005
"[1, 2, 3]",1086.1906353669149,1099.5078308374752
"[2, 1, 3]",1086.7255035032083,1102.7624765099797
"[3, 1, 3]",1088.5611787270868,1107.2709805683203
"[0, 2, 3]",1088.944450779387,1099.598207155835
"[2, 2, 3]",1090.4317737041301,1106.4124082688024
"[0, 0, 3]",1091.6872599882618,1105.097916123883
"[1, 0, 3]",1091.8197131754855,1107.912500538231
"[2, 1, 2]",1093.719546255604,1107.130202391225
